,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,6.43,5.05,4.74,10.21,9.28,-2.55,11.85,6.43,9.22,4.31
Cash from Investing Activity,-0.99,0.5,3.76,-25.7,-4.59,-6.92,-6.73,-1.52,-1.75,-0.05
Cash from Financing Activity,-5.34,-5.47,-6.01,14.5,-3.41,9.04,-6.49,-4.7,-7.81,-4.39
Net Cash Flow,0.1,0.08,2.49,-0.99,1.28,-0.44,-1.37,0.22,-0.34,-0.13
