,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,72,85,105,108,107,121,122,117,131,136.0,150.0,196.0,184
Expenses,64,78,144,99,92,107,112,109,114,124.0,148.0,182.0,167
Operating Profit,9,7,-39,9,15,14,11,8,17,12.0,2.0,15.0,16
OPM %,12,8,-37,8,14,12,9,7,13,9.0,1.0,7.0,9
Other Income,11,-8,107,3,15,1,1,0,5,0.0,0.0,0.0,1
Interest,2,5,6,6,7,7,5,4,3,1.0,1.0,1.0,1
Depreciation,24,22,21,16,14,12,11,9,9,8.0,7.0,6.0,6
Profit before tax,-6,-28,40,-11,9,-4,-4,-4,11,3.0,-5.0,7.0,10
Tax %,107,29,17,24,-20,40,37,32,-97,0.0,0.0,29.0,
Net Profit,0,-20,33,-8,11,-2,-3,-3,21,3.0,-5.0,5.0,8
EPS in Rs,,,,,,,,,,0.26,-0.37,0.38,0.61
