,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,11,11,22,22
Reserves,56,63,114,156,173,168,189,260,290,362
Borrowings,113,118,148,255,314,292,361,270,267,275
Other Liabilities,34,21,66,103,111,70,85,174,251,302
Total Liabilities,213,213,339,525,609,541,646,715,829,961
Fixed Assets,48,52,72,141,169,167,158,151,147,186
CWIP,0,2,0,6,1,1,3,7,4,31
Investments,0,0,41,66,48,27,37,66,80,138
Other Assets,165,159,225,312,392,346,447,492,599,606
Total Assets,213,213,339,525,609,541,646,715,829,961
