,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,501,1095,1095,1193,1193,1610,1611,1611,1611,1611.0
Reserves,1,2239,3351,8189,10009,13585,15798,15770,17973,
Borrowings,0,15140,24258,34154,43753,73461,94933,116252,132780,
Other Liabilities,25,1282,1532,774,1487,3062,2675,5362,3406,
Total Liabilities,527,19756,30236,44310,56442,91718,115016,138995,155770,
Fixed Assets,0,237,252,238,222,347,432,415,509,
CWIP,108,0,0,0,109,22,55,173,346,
Investments,0,3758,5516,8372,10037,15352,25155,29079,32366,
Other Assets,418,15761,24468,35700,46073,75997,89374,109329,122549,
Total Assets,527,19756,30236,44310,56442,91718,115016,138995,155770,
