,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,8885,-2599,2695,6583,-909,902,-4245
Cash from Investing Activity,,,-2671,-2237,-2373,-4187,-1804,-612,-1618
Cash from Financing Activity,,,-2023,2846,105,154,588,2803,4791
Net Cash Flow,,,4192,-1989,427,2550,-2125,3093,-1071
