,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.97,8.75,8.7,7.85,8.73,9.84,8.4,10.61,11.51,7.83,10.79,15.06,13.84
Expenses,5.29,6.56,6.24,6.03,7.13,7.94,7.47,7.75,8.39,5.88,7.49,10.4,10.99
Operating Profit,1.68,2.19,2.46,1.82,1.6,1.9,0.93,2.86,3.12,1.95,3.3,4.66,2.85
OPM %,24.1,25.03,28.28,23.18,18.33,19.31,11.07,26.96,27.11,24.9,30.58,30.94,20.59
Other Income,0.89,1.59,2.68,6.34,1.21,1.02,1.46,0.8,0.6,0.95,1.14,0.59,0.83
Interest,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.00
Depreciation,0.27,0.33,0.35,0.4,0.33,0.33,0.33,0.25,0.22,0.21,0.22,0.24,0.24
Profit before tax,2.3,3.44,4.77,7.71,2.45,2.59,2.06,3.4,3.5,2.69,4.21,5.0,3.44
Tax %,0.0,21.22,24.74,18.03,33.88,31.66,25.24,27.94,26.0,23.42,21.38,25.6,
Net Profit,2.3,2.72,3.6,6.32,1.62,1.77,1.54,2.45,2.59,2.06,3.31,3.73,2.57
EPS in Rs,2.11,2.5,3.31,5.81,1.49,1.63,1.42,2.25,2.38,1.89,3.04,3.43,2.36
