,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.0
Expenses,0.18,0.19,0.20,0.26,0.23,1.85,0.19,0.21,0.25
Operating Profit,-0.18,-0.19,-0.20,-0.26,-0.23,-1.85,-0.19,-0.21,-0.25
OPM %,,,,,,,,,
Other Income,0.20,0.21,0.22,0.08,0.13,2.42,0.13,0.12,0.12
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.0
Depreciation,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.0
Profit before tax,0.02,0.02,0.02,-0.18,-0.10,0.57,-0.06,-0.09,-0.13
Tax %,-0.00,-0.00,50.00,-0.00,-10.00,-0.00,-16.67,-11.11,
Net Profit,0.02,0.02,0.01,-0.18,-0.12,0.57,-0.08,-0.10,-0.14
EPS in Rs,0.01,0.01,0.01,-0.09,-0.06,0.29,-0.04,-0.05,-0.08
