,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81
Reserves,26.18,9.9,9.91,9.72,9.61,10.15,10.08,9.97,9.83
Borrowings,2.19,3.58,3.68,3.85,4.02,3.72,3.79,3.79,4.01
Other Liabilities,3.29,0.27,0.34,0.33,0.29,0.08,0.08,0.1,0.05
Total Liabilities,41.47,23.56,23.74,23.71,23.73,23.76,23.76,23.67,23.7
Fixed Assets,35.38,16.21,16.21,16.21,16.21,15.9,15.9,15.9,15.9
CWIP,1.93,1.4,1.56,1.56,1.6,1.65,1.7000000000000002,1.75,1.89
Investments,0.13,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Other Assets,4.03,5.55,5.57,5.54,5.52,5.8100000000000005,5.76,5.62,5.51
Total Assets,41.47,23.56,23.74,23.71,23.73,23.76,23.76,23.67,23.7
