,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,47,234,234,234,255,255,255
Reserves,1807,2256,2593,3400,5580,6907,7899
Borrowings,568,729,1114,796,543,1160,1988
Other Liabilities,1049,834,1121,990,2047,2866,3430
Total Liabilities,3471,4052,5062,5420,8425,11189,13572
Fixed Assets,1747,1774,2012,1802,2455,2946,4045
CWIP,91,358,235,506,768,2769,3024
Investments,195,274,144,282,1036,1463,1589
Other Assets,1437,1647,2670,2829,4166,4011,4915
Total Assets,3471,4052,5062,5420,8425,11189,13572
