,2022-03-01,2023-03-01,2023-09-01
Promoters,88.35,88.35,81.62
FIIs,1.06,0.65,1.84
DIIs,2.96,3.14,4.35
Public,7.63,7.86,11.78
Others,0.0,0.0,0.43
No. of Shareholders,169129.0,156267.0,130019.0
