,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,85.0,70.0,68.0,22.0,57.0,35.0,37.0,21.0,141.0,93.0
Expenses,80.0,67.0,64.0,21.0,55.0,34.0,36.0,19.0,132.0,84.0
Operating Profit,5.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,9.0,9.0
OPM %,6.0,5.0,6.0,7.0,3.0,3.0,2.0,9.0,7.0,9.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,1.0
Interest,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0
Profit before tax,5.0,3.0,3.0,1.0,1.0,1.0,0.0,-1.0,4.0,1.0
Tax %,28.0,22.0,35.0,26.0,31.0,31.0,-5.0,22.0,29.0,45.0
Net Profit,3.0,2.0,2.0,1.0,1.0,1.0,0.0,-0.0,3.0,1.0
EPS in Rs,6.7,4.92,4.09,1.8,1.6,0.74,0.5,-0.58,3.96,0.91
