,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.0,46.0,34.0,101.0,149.0,138.0,80.0,72.0,161.0,234
Expenses,6.0,45.0,32.0,96.0,141.0,131.0,76.0,70.0,150.0,216
Operating Profit,0.0,1.0,2.0,6.0,8.0,7.0,3.0,2.0,11.0,18
OPM %,5.0,2.0,6.0,6.0,5.0,5.0,4.0,3.0,7.0,8
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4
Interest,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,8
Depreciation,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,8
Profit before tax,0.0,1.0,1.0,4.0,7.0,6.0,2.0,1.0,4.0,6
Tax %,29.0,31.0,33.0,28.0,27.0,29.0,29.0,20.0,30.0,
Net Profit,0.0,0.0,1.0,3.0,5.0,4.0,2.0,1.0,3.0,4
EPS in Rs,1.22,2.6,4.09,6.4,10.06,9.01,3.4,1.24,3.39,4.87
