,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,30,30,30,30,30,30,30,30,30
Reserves,376,277,154,-40,-231,-314,-336,-350,-356
Borrowings,401,440,375,375,48,181,181,180,179
Other Liabilities,158,170,205,278,443,319,324,338,340
Total Liabilities,966,918,764,643,290,217,199,198,193
Fixed Assets,472,443,436,253,178,159,139,129,124
CWIP,1,1,1,2,3,4,4,4,4
Investments,0,0,0,0,0,0,0,0,0
Other Assets,493,474,327,388,109,54,56,66,65
Total Assets,966,918,764,643,290,217,199,198,193
