,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,19.1,18.23,52.95,37.95,15.71,8.02,6.18,6.37,22.45,20.23
Expenses,0.09,16.83,16.31,33.51,26.21,16.26,7.33,4.33,4.49,16.93,20.11
Operating Profit,-0.05,2.27,1.92,19.44,11.74,-0.55,0.69,1.85,1.88,5.52,0.12
OPM %,-125.0,11.88,10.53,36.71,30.94,-3.5,8.6,29.94,29.51,24.59,0.59
Other Income,0.0,-0.43,0.6,0.08,0.1,0.18,-31.33,-0.53,-0.01,0.27,0.21
Interest,0.0,0.09,0.18,0.35,0.2,0.18,0.25,0.2,0.18,0.39,0.30
Depreciation,0.1,1.18,0.36,0.21,0.42,0.54,0.33,1.09,1.08,1.51,1.69
Profit before tax,-0.15,0.57,1.98,18.96,11.22,-1.09,-31.22,0.03,0.61,3.89,-1.66
Tax %,0.0,75.44,-0.51,17.72,6.68,5.5,0.1,100.0,-1.64,2.57,
Net Profit,-0.15,0.13,1.99,15.6,10.48,-1.03,-31.19,0.0,0.62,3.78,-1.06
EPS in Rs,-0.09,0.07,1.14,8.63,5.77,-0.56,-17.07,0.0,0.34,1.87,-0.50
