,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17.47,17.47,17.47,18.07,18.27,18.27,18.27,18.27,18.27,20.27,21.12
Reserves,-1.52,-0.62,2.8,20.06,25.85,18.67,-12.53,-12.53,-11.34,-0.41,-1.78
Borrowings,0.0,4.41,1.98,1.03,1.3,3.73,5.67,1.29,6.6,3.45,2.77
Other Liabilities,0.23,3.23,2.42,7.33,10.45,10.61,5.87,7.43,3.98,10.75,11.49
Total Liabilities,16.18,24.49,24.67,46.49,55.87,51.28,17.28,14.46,17.51,34.06,34.15
Fixed Assets,2.23,3.28,3.39,3.52,4.33,12.23,8.81,0.28,8.93,21.01,20.74
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,3.21,8.66,0.0,0.0,0.0
Investments,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.95,21.21,15.03,42.97,51.54,39.05,5.26,5.52,8.58,13.05,13.41
Total Assets,16.18,24.49,24.67,46.49,55.87,51.28,17.28,14.46,17.51,34.06,34.15
