,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,3250.0,3224.0,3466.0,3609.0,3834.0,4081.0,4447
Interest,2041.0,1994.0,2147.0,2072.0,2019.0,1987.0,2339
Expenses,1366.0,1350.0,1231.0,1355.0,1470.0,1276.0,1374
Financing Profit,-157.0,-120.0,89.0,183.0,346.0,818.0,734
Financing Margin %,-5.0,-4.0,3.0,5.0,9.0,20.0,17
Other Income,506.0,414.0,526.0,644.0,812.0,629.0,668
Depreciation,40.0,36.0,30.0,29.0,33.0,54.0,0
Profit before tax,310.0,259.0,585.0,798.0,1125.0,1394.0,1402
Tax %,28.0,0.0,30.0,24.0,27.0,26.0,
Net Profit,222.0,259.0,408.0,603.0,822.0,1029.0,1067
EPS in Rs,15.57,18.14,28.61,42.34,57.67,65.0,67.41
