,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,143,143,143,143,143,158,158.0
Reserves,3262,3476,3837,4437,5193,6770,
Borrowings,32941,35136,37149,40970,44933,48291,
Other Liabilities,1522,1719,1604,1948,2559,2646,
Total Liabilities,37868,40473,42733,47499,52828,57866,
Fixed Assets,140,138,128,137,211,246,
CWIP,0,0,0,0,0,0,
Investments,10364,9107,9467,11703,13242,14156,
Other Assets,27364,31228,33137,35658,39374,43464,
Total Assets,37868,40473,42733,47499,52828,57866,
