,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-389,0,0,-670,1325,-1270
Cash from Investing Activity,-26,0,0,-37,-107,-89
Cash from Financing Activity,472,0,0,-324,-71,1088
Net Cash Flow,58,0,0,-1031,1147,-270
