,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,9,2,-18,33,-112
Cash from Investing Activity,2,2,3,-2,-2
Cash from Financing Activity,-4,-6,19,-21,127
Net Cash Flow,6,-2,5,10,13
