,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,144.76,161.35,360.02,393.38,362.25,354.32,337.37,273.3,523.42,323.7,285.84
Expenses,151.31,141.92,361.18,379.56,359.88,349.13,325.06,265.16,511.25,322.57,283.29
Operating Profit,-6.55,19.43,-1.16,13.82,2.37,5.19,12.31,8.14,12.17,1.13,2.55
OPM %,-4.52,12.04,-0.32,3.51,0.65,1.46,3.65,2.98,2.33,0.35,0.89
Other Income,3.27,0.52,2.08,2.69,4.93,0.85,0.0,2.72,1.2,0.81,0.43
Interest,1.67,0.5,8.09,2.1,1.27,0.78,1.53,0.4,2.37,1.07,2.56
Depreciation,0.03,0.02,0.02,0.06,0.06,0.04,0.04,0.04,0.21,0.09,0.09
Profit before tax,-4.98,19.43,-7.19,14.35,5.97,5.22,10.74,10.42,10.79,0.78,0.33
Tax %,26.31,15.59,-3.06,25.16,25.46,24.33,25.42,21.11,27.15,28.21,3.03
Net Profit,-3.66,16.39,-7.42,10.74,4.45,3.95,8.0,8.21,7.86,0.57,0.33
EPS in Rs,-1.46,6.56,-2.97,4.3,1.78,1.17,2.37,2.43,2.32,0.17,0.1
