,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,71.0,66.0,209.0,141.0,212.0,149.0,239.0,207.0,187.0,197.0,262.0,203.0,206.0
Expenses,74.0,74.0,206.0,182.0,211.0,145.0,224.0,212.0,190.0,231.0,285.0,248.0,300.0
Operating Profit,-3.0,-8.0,3.0,-41.0,1.0,5.0,14.0,-4.0,-3.0,-34.0,-22.0,-45.0,-94.0
OPM %,-4.0,-12.0,1.0,-29.0,0.0,3.0,6.0,-2.0,-2.0,-17.0,-9.0,-22.0,-46.0
Other Income,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Interest,6.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,12.0,9.0,14.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0
Profit before tax,-21.0,-20.0,-13.0,-39.0,-12.0,-6.0,6.0,-14.0,-12.0,-43.0,-31.0,-53.0,-97.0
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-21.0,-20.0,-13.0,-39.0,-12.0,-6.0,6.0,-14.0,-12.0,-43.0,-31.0,-53.0,-97.0
EPS in Rs,-1.49,-1.43,-0.94,-2.78,-0.83,-0.45,0.4,-0.96,-0.82,-3.06,-2.17,-3.77,-6.87
