,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,64.91,64.91,64.15,68.99,71.83,73.04,73.03
FIIs,0.0,0.0,0.0,0.0,0.0,0.43,0.43
Public,35.1,35.09,35.84,31.02,28.17,26.53,26.54
No. of Shareholders,249.0,239.0,232.0,195.0,146.0,129.0,131.0
