,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1,-4,1,-6,-12
Cash from Investing Activity,0,-8,0,0,-1
Cash from Financing Activity,1,12,0,10,18
Net Cash Flow,0,0,0,4,6
