,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,987,987,987,987,987,1975,1975,1975,1975,1975,1975,2633,2633
Reserves,13636,16543,19816,24085,27906,31696,30613,32571,33422,41789,49339,55487,60949
Borrowings,90058,107762,126173,150979,169212,167852,204367,244249,286289,329723,333043,380790,419517
Other Liabilities,3947,5277,5968,7404,8840,8723,5416,19659,25345,27380,26503,26592,30082
Total Liabilities,108629,130570,152944,183456,206945,210245,242370,298454,347030,400867,410860,465503,513181
Fixed Assets,71,72,73,110,254,355,132,165,166,267,628,641,636
CWIP,8,9,10,10,78,166,129,199,288,336,6,3,7
Investments,733,638,1690,1596,2352,2617,2948,2463,2386,1981,2190,3170,3287
Other Assets,107817,129851,151170,181740,204261,207108,239162,295627,344190,398282,408035,461689,509251
Total Assets,108629,130570,152944,183456,206945,210245,242370,298454,347030,400867,410860,465503,513181
