,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.03,-0.04,-0.02,-1.97,-5.26
Cash from Investing Activity,-0.6000000000000001,-0.11,-0.29,-1.49,-4.68
Cash from Financing Activity,0.66,0.13,0.34,3.5,10.12
Net Cash Flow,0.03,-0.02,0.03,0.03,0.19
