,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,11.72,13.04,18.01,17.25
Expenses,10.92,11.65,16.71,15.23
Operating Profit,0.8,1.39,1.3,2.02
OPM %,6.83,10.66,7.22,11.71
Other Income,0.0,0.0,0.01,0.27
Interest,0.2,0.28,0.5,0.45
Depreciation,0.17,0.21,0.17,0.38
Profit before tax,0.43,0.9,0.64,1.46
Tax %,25.58,26.67,26.56,25.34
Net Profit,0.32,0.67,0.47,1.09
EPS in Rs,2.13,3.57,0.75,1.73
