,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,30.94,18.35,23.12,15.62,43.69,27.49,30.04
Expenses,30.14,18.31,22.5,15.12,41.04,26.18,29.6
Operating Profit,0.8,0.04,0.62,0.5,2.65,1.31,0.44
OPM %,2.59,0.22,2.68,3.2,6.07,4.77,1.46
Other Income,0.61,0.16,0.69,0.48,0.44,0.24,0.36
Interest,0.29,0.29,0.37,0.61,0.51,0.63,0.67
Depreciation,0.08,0.07,0.16,0.11,0.13,0.11,0.11
Profit before tax,1.04,-0.16,0.78,0.26,2.45,0.81,0.02
Tax %,23.08,6.25,23.08,26.92,26.12,25.93,100.0
Net Profit,0.81,-0.15,0.6,0.2,1.82,0.6,0.0
EPS in Rs,0.78,-0.14,0.58,0.19,1.75,0.58,0.0
