,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.0,52.0,81.0,101.0,115.0,110.0,128.0,141.0,157
Expenses,37.0,41.0,66.0,80.0,79.0,76.0,98.0,103.0,112
Operating Profit,9.0,11.0,15.0,21.0,35.0,34.0,30.0,38.0,45
OPM %,19.0,20.0,19.0,21.0,31.0,31.0,24.0,27.0,29
Other Income,1.0,1.0,2.0,1.0,0.0,0.0,6.0,4.0,6
Interest,3.0,3.0,4.0,5.0,8.0,9.0,10.0,8.0,7
Depreciation,5.0,4.0,6.0,10.0,17.0,22.0,23.0,22.0,28
Profit before tax,2.0,4.0,6.0,7.0,11.0,3.0,3.0,13.0,15
Tax %,33.0,31.0,28.0,28.0,24.0,16.0,26.0,26.0,
Net Profit,1.0,3.0,5.0,5.0,8.0,3.0,2.0,9.0,12
EPS in Rs,1.28,2.97,3.38,3.48,5.84,1.88,1.74,6.86,8.73
