,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.24,3.37,4.68,13.88,21.67,61.4,83.35,99.65,99.91,104.81,103.39,84.48,89.76
Expenses,1.18,3.12,4.24,13.54,21.22,59.42,77.75,94.4,95.21,100.13,100.59,82.76,89.17
Operating Profit,0.06,0.25,0.44,0.34,0.45,1.98,5.6,5.25,4.7,4.68,2.8,1.72,0.59
OPM %,4.84,7.42,9.4,2.45,2.08,3.22,6.72,5.27,4.7,4.47,2.71,2.04,0.66
Other Income,0.0,0.0,0.08,0.03,0.02,0.21,0.24,0.13,0.7,0.19,0.37,0.22,0.31
Interest,0.0,0.08,0.24,0.12,0.16,1.03,1.1,0.72,1.92,0.92,1.13,1.62,1.13
Depreciation,0.0,0.06,0.27,0.12,0.12,0.31,1.21,1.17,1.04,0.68,0.3,0.24,0.21
Profit before tax,0.06,0.11,0.01,0.13,0.19,0.85,3.53,3.49,2.44,3.27,1.74,0.08,-0.44
Tax %,33.33,63.64,-100.0,23.08,31.58,31.76,27.2,39.26,18.85,29.36,24.71,62.5,
Net Profit,0.04,0.04,0.01,0.11,0.13,0.59,2.58,2.12,1.97,2.32,1.31,0.03,-0.34
EPS in Rs,2.0,0.19,0.03,0.14,0.12,0.56,0.47,0.39,0.36,0.43,0.24,0.01,-0.06
