,2013-03-01,2014-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,18,49,16,42,50,48,67,71
Cash from Investing Activity,,,-12,-51,-15,-47,-34,-45,-489,-97
Cash from Financing Activity,,,-1,-2,-1,-1,-5,-5,450,-3
Net Cash Flow,,,5,-4,1,-5,12,-2,27,-30
