,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,41.0,43.0,36.0,45.0,59.0,67.0,61.0,65.0,68.0,70.0,69.0,72.0
Expenses,19.0,20.0,24.0,30.0,34.0,34.0,37.0,40.0,41.0,44.0,47.0,48.0
Operating Profit,22.0,23.0,12.0,15.0,25.0,33.0,24.0,25.0,27.0,26.0,22.0,24.0
OPM %,53.0,53.0,34.0,34.0,42.0,49.0,40.0,39.0,40.0,37.0,31.0,34.0
Other Income,4.0,4.0,4.0,4.0,5.0,8.0,10.0,9.0,23.0,15.0,17.0,15.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profit before tax,24.0,25.0,14.0,17.0,27.0,37.0,32.0,32.0,47.0,38.0,36.0,37.0
Tax %,20.0,20.0,20.0,21.0,21.0,22.0,24.0,20.0,21.0,23.0,27.0,29.0
Net Profit,19.0,20.0,12.0,14.0,22.0,29.0,24.0,26.0,37.0,30.0,26.0,26.0
EPS in Rs,23.3,24.98,14.16,0.79,1.09,1.45,1.22,1.29,1.84,1.45,1.29,1.28
