,2013-03-01,2014-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,20,20,20
Reserves,10,24,52,100,156,204,256,325,836,963,1018
Borrowings,5,6,4,3,1,0,0,28,25,21,24
Other Liabilities,1,2,15,16,10,8,36,9,16,10,14
Total Liabilities,17,33,72,119,168,213,293,362,897,1014,1077
Fixed Assets,2,7,9,7,5,4,33,28,27,21,24
CWIP,0,1,0,0,0,0,0,0,0,0,0
Investments,3,12,15,66,83,98,73,140,194,391,500
Other Assets,12,13,48,47,80,111,188,194,676,602,552
Total Assets,17,33,72,119,168,213,293,362,897,1014,1077
