,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.0,49.0,78.0,105.0,105.0,115.0,125.0,143.0,207.0,264.0,279
Expenses,15.0,35.0,57.0,57.0,51.0,69.0,71.0,71.0,121.0,162.0,180
Operating Profit,6.0,14.0,21.0,49.0,54.0,47.0,54.0,72.0,85.0,102.0,99
OPM %,29.0,28.0,27.0,46.0,51.0,40.0,43.0,50.0,41.0,39.0,35
Other Income,0.0,0.0,1.0,1.0,6.0,11.0,16.0,21.0,21.0,57.0,70
Interest,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3
Depreciation,0.0,0.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,7.0,8
Profit before tax,6.0,14.0,20.0,46.0,57.0,55.0,61.0,84.0,97.0,150.0,159
Tax %,0.0,0.0,12.0,-0.0,4.0,13.0,17.0,20.0,21.0,22.0,
Net Profit,6.0,14.0,17.0,46.0,54.0,48.0,51.0,68.0,76.0,117.0,120
EPS in Rs,7.71,17.11,21.5,57.99,67.25,59.2,62.95,83.49,3.79,5.72,5.86
