,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,7.0,13,37,22,54
Inventory Days,15.0,15,9,35,19
Days Payable,2.0,2,12,13,19
Cash Conversion Cycle,19.0,26,35,45,54
Working Capital Days,27.0,31,43,45,67
ROCE %,,12,9,7,11
