,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,390.0,582.0,960.0,1279.0,1424.0,1671
Expenses,382.0,570.0,948.0,1266.0,1395.0,1635
Operating Profit,8.0,11.0,12.0,13.0,29.0,36
OPM %,2.0,2.0,1.0,1.0,2.0,2
Other Income,0.0,2.0,5.0,6.0,5.0,10
Interest,3.0,8.0,8.0,11.0,15.0,21
Depreciation,1.0,3.0,3.0,4.0,3.0,4
Profit before tax,3.0,3.0,6.0,4.0,16.0,22
Tax %,28.0,20.0,20.0,20.0,21.0,
Net Profit,2.0,2.0,5.0,4.0,13.0,17
EPS in Rs,1.34,0.26,0.46,0.33,0.92,1.24
