,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,362,387,456,456,456,491,548,576,582,584
Reserves,-220,-27,334,504,773,1153,2947,4045,4866,6127
Borrowings,0,0,0,250,250,250,250,720,470,470
Other Liabilities,954,1012,1423,2138,3394,4233,6756,8174,9308,9415
Total Liabilities,1096,1372,2213,3347,4872,6127,10501,13514,15226,16596
Fixed Assets,46,62,77,92,85,90,183,113,101,124
CWIP,12,3,7,5,13,12,19,4,10,0
Investments,502,807,1428,2165,3030,4290,6733,11373,13392,14020
Other Assets,535,500,700,1085,1744,1735,3565,2024,1723,2451
Total Assets,1096,1372,2213,3347,4872,6127,10501,13514,15226,16596
