,2022-03-01,2023-03-01
Sales,128,706
Expenses,115,562
Operating Profit,14,144
OPM %,11,20
Other Income,1,15
Interest,2,32
Depreciation,6,51
Profit before tax,6,76
Tax %,36,22
Net Profit,4,59
EPS in Rs,,
