,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,3.04,4.24,4.24,4.24,4.24,4.24,4.24
Reserves,8.57,7.63,7.39,8.66,7.11,10.44,11.8,13.19,10.5,,13.74
Borrowings,0.0,0.0,5.02,6.11,1.21,0.88,14.35,15.0,0.32,,1.01
Other Liabilities,1.02,3.71,0.78,2.07,2.54,2.12,9.57,10.45,2.37,,6.83
Total Liabilities,9.6,11.35,13.2,16.85,13.9,17.68,39.96,42.88,17.43,,25.82
Fixed Assets,0.04,0.06,0.1,0.33,0.23,0.59,5.88,5.42,0.14,,0.67
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,,0.0
Investments,0.0,0.0,0.51,1.25,1.25,1.25,0.15,0.03,1.2,,0.0
Other Assets,9.56,11.29,12.59,15.27,12.42,15.84,33.48,36.98,16.09,,25.15
Total Assets,9.6,11.35,13.2,16.85,13.9,17.68,39.96,42.88,17.43,,25.82
