,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.19,25.81,20.7,24.86,20.22,22.17,38.4,80.29,48.47,45.82,46.96
Expenses,19.65,25.53,20.35,22.84,17.96,20.58,36.78,76.19,47.77,45.18,46.56
Operating Profit,6.54,0.28,0.35,2.02,2.26,1.59,1.62,4.1,0.7,0.64,0.40
OPM %,24.97,1.08,1.69,8.13,11.18,7.17,4.22,5.11,1.44,1.4,0.85
Other Income,0.08,0.08,0.08,0.57,0.19,0.34,0.49,0.39,0.5,0.2,0.25
Interest,0.01,0.09,0.04,0.63,0.1,0.13,0.79,1.73,0.03,0.31,0.26
Depreciation,0.01,0.02,0.07,0.14,0.11,0.12,0.38,0.57,0.14,0.41,0.37
Profit before tax,6.6,0.25,0.32,1.82,2.24,1.68,0.94,2.19,1.03,0.12,0.02
Tax %,11.52,532.0,206.25,28.57,25.89,4.76,4.26,14.16,6.8,216.67,
Net Profit,5.84,-1.08,-0.34,1.29,1.67,1.61,0.9,1.88,0.96,-0.13,-0.23
EPS in Rs,5840.0,-1080.0,-340.0,1290.0,5.5,3.8,1.6,3.52,2.27,-0.31,-0.55
