,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,11.89,9.35,29.28,37.36,42.93,41.3,28.65,22.71,23.11,23.85
Expenses,11.5,9.05,27.96,35.32,40.88,39.66,28.43,22.15,23.03,23.53
Operating Profit,0.39,0.3,1.32,2.04,2.05,1.64,0.22,0.56,0.08,0.32
OPM %,3.28,3.21,4.51,5.46,4.78,3.97,0.77,2.47,0.35,1.34
Other Income,-0.12,0.34,0.15,0.3,0.09,0.04,0.45,0.07,0.13,0.12
Interest,0.06,0.03,0.76,0.75,0.97,0.78,0.02,0.16,0.15,0.11
Depreciation,0.08,0.1,0.28,0.29,0.27,0.28,0.07,0.26,0.15,0.22
Profit before tax,0.13,0.51,0.43,1.3,0.9,0.62,0.58,0.21,-0.09,0.11
Tax %,-38.46,5.88,2.33,14.62,13.33,1.61,12.07,0.0,-288.89,0.0
Net Profit,0.19,0.48,0.2,0.8,0.69,0.6,0.51,0.21,-0.35,0.12
EPS in Rs,0.45,1.13,0.47,1.89,1.63,1.42,1.2,0.5,-0.83,0.28
