,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,12
Reserves,164,172,185,212,222
Borrowings,0,4,13,34,32
Other Liabilities,19,40,46,92,86
Total Liabilities,189,223,250,344,352
Fixed Assets,33,41,47,133,139
CWIP,0,3,32,13,15
Investments,39,40,43,51,53
Other Assets,117,138,128,146,145
Total Assets,189,223,250,344,352
