,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.2,73.86,73.95,73.95,73.06
FIIs,0.23,0.14,0.0,0.0,0.01
DIIs,0.76,0.01,0.0,0.0,0.0
Public,25.81,25.99,26.05,26.06,26.93
No. of Shareholders,8218.0,6699.0,5965.0,8378.0,12953.0
