,2011-03-01,2012-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,5,10,14,14,14,14,14,14.0
Reserves,2,2,-12,13,17,19,20,21,27.0
Preference Capital,0,7,11,11,11,11,11,11,
Borrowings,0,25,42,51,48,65,72,73,77.0
Other Liabilities,0,10,68,66,67,77,88,74,72.0
Total Liabilities,2,42,108,145,146,175,194,182,190.0
Fixed Assets,0,2,33,33,58,63,76,69,72.0
CWIP,0,37,0,4,1,3,7,11,7.0
Investments,0,0,0,0,0,0,0,0,0.0
Other Assets,2,3,75,107,88,109,111,102,111.0
Total Assets,2,42,108,145,146,175,194,182,190.0
