,2022-03-01,2022-11-01,2023-03-01
Cash from Operating Activity,0.0,0.78,-4.67
Cash from Investing Activity,0.0,-0.35,-0.43
Cash from Financing Activity,0.01,-0.26,6.74
Net Cash Flow,0.01,0.17,1.64
