,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.0,1.0,1.0,1.0,8.6,8.6,10.32,10.32,10.32,10.32,10.32
Reserves,3.61,4.98,6.54,7.79,9.05,20.57,23.67,25.22,24.29,27.46,34.2,36.48
Borrowings,4.66,8.04,6.21,7.92,8.72,7.02,7.56,7.79,12.27,14.17,29.11,23.52
Other Liabilities,3.18,4.27,7.62,7.49,8.11,17.35,19.27,24.87,28.9,23.86,40.89,72.33
Total Liabilities,12.45,18.29,21.37,24.2,26.88,53.54,59.1,68.2,75.78,75.81,114.52,142.65
Fixed Assets,3.41,3.69,3.77,4.44,9.08,10.26,8.61,7.76,7.7,9.5,18.74,18.8
CWIP,0.07,0.1,2.24,3.0,0.0,0.0,0.0,0.0,17.7,22.92,23.57,27.96
Investments,0.55,0.84,2.02,3.1,0.3,11.67,8.92,8.27,4.7,4.02,4.01,0.08
Other Assets,8.42,13.66,13.34,13.66,17.5,31.61,41.57,52.17,45.68,39.37,68.2,95.81
Total Assets,12.45,18.29,21.37,24.2,26.88,53.54,59.1,68.2,75.78,75.81,114.52,142.65
