,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.0,20.14,24.28,26.19,33.03,43.37,46.71,45.94,44.4,53.39,72.83,73.90
Expenses,12.01,16.99,20.56,23.0,28.74,34.81,37.8,38.55,40.32,45.81,63.59,62.52
Operating Profit,1.99,3.15,3.72,3.19,4.29,8.56,8.91,7.39,4.08,7.58,9.24,11.38
OPM %,14.21,15.64,15.32,12.18,12.99,19.74,19.08,16.09,9.19,14.2,12.69,15.40
Other Income,0.44,0.38,0.52,0.27,0.31,0.2,0.11,0.4,0.27,0.06,1.09,1.05
Interest,0.44,0.76,1.0,0.64,1.13,1.11,1.26,1.47,1.52,2.0,2.31,2.45
Depreciation,0.4,0.52,0.75,0.9,0.79,0.77,0.71,0.67,0.4,0.36,1.98,2.98
Profit before tax,1.59,2.25,2.49,1.92,2.68,6.88,7.05,5.65,2.43,5.28,6.04,7.00
Tax %,35.22,34.22,30.92,32.81,35.07,28.78,28.94,33.1,30.04,28.98,21.03,
Net Profit,1.03,1.48,1.72,1.29,1.74,4.91,5.01,3.79,1.71,3.75,4.76,5.50
EPS in Rs,8.58,12.33,14.33,10.75,12.42,4.17,4.12,3.2,1.61,3.37,3.85,4.47
