,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3.02,-1.59,6.57,0.88,1.03,-5.92,1.89,-5.55,-3.39,6.47,-15.49
Cash from Investing Activity,-0.46,-1.41,-3.48,-3.13,-1.69,-13.15,-0.31,5.7,1.06,-6.71,-4.75
Cash from Financing Activity,2.49,3.28,-2.09,1.08,-0.22,19.74,-1.24,-0.65,2.3,-0.1,20.75
Net Cash Flow,-0.98,0.28,0.99,-1.17,-0.87,0.66,0.34,-0.5,-0.03,-0.34,0.5
