,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.49,10.54,16.16,17.77,11.65,18.31,18.25,24.62,12.97,18.06
Expenses,8.08,8.97,13.94,15.34,9.59,16.75,15.88,21.26,9.91,15.47
Operating Profit,1.41,1.57,2.22,2.43,2.06,1.56,2.37,3.36,3.06,2.59
OPM %,14.86,14.9,13.74,13.67,17.68,8.52,12.99,13.65,23.59,14.34
Other Income,0.03,0.03,0.05,0.0,0.06,0.0,0.05,0.99,0.0,0.01
Interest,0.31,0.34,0.65,0.71,0.49,0.51,0.64,0.66,0.54,0.61
Depreciation,0.07,0.08,0.11,0.12,0.09,0.17,0.16,1.69,0.92,0.21
Profit before tax,1.06,1.18,1.51,1.6,1.54,0.88,1.62,2.0,1.6,1.78
Tax %,27.36,27.12,29.8,31.25,28.57,26.14,32.72,4.5,27.5,25.84
Net Profit,0.78,0.86,1.06,1.11,1.09,0.65,1.1,1.91,1.16,1.33
EPS in Rs,0.7,0.78,0.96,1.0,0.99,0.53,0.71,1.62,0.94,1.2
