,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.19,21.02,5.93,28.57,46.26,14.24,5.82,7.3,68.37,66.86,5.57,2.05,2.73
Expenses,4.44,17.13,4.02,22.64,40.41,11.12,2.45,6.04,56.73,50.48,6.82,3.39,3.72
Operating Profit,3.75,3.89,1.91,5.93,5.85,3.12,3.37,1.26,11.64,16.38,-1.25,-1.34,-0.99
OPM %,45.79,18.51,32.21,20.76,12.65,21.91,57.9,17.26,17.03,24.5,-22.44,-65.37,-36.26
Other Income,0.04,0.11,4.24,0.16,0.34,0.07,0.17,0.81,0.68,1.62,2.79,2.37,7.01
Interest,1.98,2.27,2.57,2.62,2.43,1.66,1.54,0.44,2.23,0.67,0.48,0.24,0.49
Depreciation,0.33,0.37,0.41,0.95,0.86,0.62,0.54,0.47,0.35,0.33,0.35,0.33,0.30
Profit before tax,1.48,1.36,3.17,2.52,2.9,0.91,1.46,1.16,9.74,17.0,0.71,0.46,5.23
Tax %,11.49,19.85,27.76,73.81,25.17,62.64,17.12,29.31,29.26,25.53,28.17,36.96,
Net Profit,1.31,1.09,2.29,0.66,2.17,0.34,1.21,0.82,6.89,12.65,0.51,0.29,4.15
EPS in Rs,0.94,0.78,1.65,0.47,1.56,0.24,0.87,0.59,4.96,9.1,0.37,0.21,2.98
