,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,141.0,172.0,166.0,223.0,229.0,178.0,213.0,320.0,282
Expenses,123.0,145.0,160.0,197.0,202.0,157.0,196.0,289.0,256
Operating Profit,18.0,27.0,7.0,26.0,28.0,21.0,16.0,31.0,25
OPM %,13.0,16.0,4.0,12.0,12.0,12.0,8.0,10.0,9
Other Income,2.0,3.0,5.0,1.0,2.0,5.0,6.0,12.0,15
Interest,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3
Depreciation,8.0,11.0,11.0,11.0,13.0,10.0,7.0,8.0,9
Profit before tax,11.0,17.0,0.0,16.0,15.0,14.0,14.0,33.0,28
Tax %,38.0,37.0,355.0,22.0,32.0,30.0,18.0,18.0,
Net Profit,7.0,11.0,-0.0,6.0,8.0,7.0,12.0,27.0,24
EPS in Rs,1.24,2.0,-0.09,1.03,1.53,1.39,2.2,5.01,4.53
