,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5,5
Reserves,115,128,125,128,133,139,148,172,181
Borrowings,18,2,3,8,2,6,12,47,97
Other Liabilities,38,34,33,33,33,36,36,47,126
Total Liabilities,176,170,166,175,173,186,202,271,409
Fixed Assets,84,75,66,59,50,45,45,57,244
CWIP,21,1,1,0,0,0,1,23,1
Investments,0,22,24,22,18,17,29,35,41
Other Assets,71,72,74,93,104,124,127,156,123
Total Assets,176,170,166,175,173,186,202,271,409
