,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,40,40,45,45,45,45.0
Reserves,507,508,234,141,17,-196,-331.0
Preference Capital,1,0,0,0,0,0,
Borrowings,0,0,849,944,1069,1341,1445.0
Other Liabilities,373,365,471,429,435,439,487.0
Total Liabilities,881,914,1594,1559,1565,1629,1646.0
Fixed Assets,239,263,1055,1053,1049,1132,1128.0
CWIP,0,1,10,3,8,2,3.0
Investments,7,23,24,35,94,94,88.0
Other Assets,635,627,505,468,415,401,427.0
Total Assets,881,914,1594,1559,1565,1629,1646.0
