,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1149,2187.0,2645.0,2428.0,2300.0,2453.0,2327
Expenses,1153,2178.0,2587.0,2420.0,2275.0,2448.0,2342
Operating Profit,-4,9.0,57.0,8.0,25.0,4.0,-15
OPM %,-0,0.0,2.0,0.0,1.0,0.0,-1
Other Income,9,28.0,32.0,53.0,76.0,32.0,24
Interest,4,7.0,82.0,91.0,97.0,115.0,132
Depreciation,15,25.0,138.0,134.0,126.0,132.0,135
Profit before tax,-14,4.0,-131.0,-164.0,-122.0,-211.0,-258
Tax %,0,43.0,0.0,0.0,0.0,0.0,
Net Profit,-14,2.0,-131.0,-164.0,-121.0,-210.0,-257
EPS in Rs,,0.27,-14.51,-18.18,-13.48,-23.34,-28.54
