,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,83.41,90.08,100.89,88.38,105.98,110.63,133.0,123.17,131.74,129.36,141.98,135.26,145.33
Expenses,74.56,80.37,89.9,78.93,96.01,100.81,124.04,114.06,122.24,119.43,130.98,125.32,136.44
Operating Profit,8.85,9.71,10.99,9.45,9.97,9.82,8.96,9.11,9.5,9.93,11.0,9.94,8.89
OPM %,10.61,10.78,10.89,10.69,9.41,8.88,6.74,7.4,7.21,7.68,7.75,7.35,6.12
Other Income,0.3,0.26,0.32,0.28,0.31,0.24,0.4,0.42,0.35,0.21,0.41,0.62,2.61
Interest,5.75,6.34,6.99,5.93,6.4,5.9,5.28,5.21,5.48,5.91,6.9,6.18,6.72
Depreciation,1.9,1.79,1.75,1.81,1.85,1.92,1.75,1.91,1.96,1.96,1.86,1.91,1.98
Profit before tax,1.5,1.84,2.57,1.99,2.03,2.24,2.33,2.41,2.41,2.27,2.65,2.47,2.8
Tax %,33.33,28.8,24.9,26.63,25.12,31.7,20.17,28.22,28.63,27.75,20.0,25.1,27.14
Net Profit,1.0,1.31,1.92,1.45,1.52,1.54,1.86,1.74,1.72,1.64,2.12,1.85,2.04
EPS in Rs,0.77,1.01,1.49,1.12,1.18,1.19,1.44,1.35,1.33,1.27,1.64,1.43,1.58
