,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.00,0.00,0.00,0.27
Expenses,0.04,0.04,0.05,0.10,0.06,0.09,0.13,0.17,0.15,0.10,0.13,0.17,0.40
Operating Profit,-0.04,-0.04,-0.05,-0.10,-0.06,-0.09,-0.13,-0.16,0.07,-0.10,-0.13,-0.17,-0.13
OPM %,,,,,,,,-1600.0,31.82,,,,-48.15
Other Income,0.00,0.00,0.02,0.19,0.20,0.36,0.13,-0.12,0.92,0.52,0.92,1.70,0.43
Interest,0.04,0.06,0.06,0.04,0.02,0.02,0.05,0.26,0.32,0.35,0.41,0.30,0.19
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.11,0.02,0.01,0.02,0.01
Profit before tax,-0.08,-0.10,-0.09,0.05,0.12,0.25,-0.12,-0.63,0.56,0.05,0.37,1.21,0.10
Tax %,0.00,0.00,0.00,0.00,0.00,8.00,0.00,-14.29,0.0,60.00,0.00,0.00,
Net Profit,-0.08,-0.11,-0.09,0.05,0.13,0.22,-0.13,-0.72,0.56,0.02,0.37,1.21,0.10
EPS in Rs,-0.65,-0.89,-0.73,0.40,1.05,1.77,-1.05,-5.81,4.52,0.16,2.98,9.76,0.80
