,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01
Equity Capital,102,102,102,102,102,102,102,102,102,102,102,102
Reserves,456,456,460,415,292,55,-151,-209,-265,-317,-349,-406
Borrowings,56,175,260,259,284,277,278,276,326,326,326,326
Other Liabilities,11,10,15,27,27,118,132,165,203,172,173,173
Total Liabilities,625,742,836,803,705,553,361,334,366,283,251,195
Fixed Assets,336,444,437,373,310,244,192,166,139,112,74,71
CWIP,41,12,0,0,0,0,0,0,0,0,0,0
Investments,133,133,133,133,91,91,91,91,91,91,91,91
Other Assets,115,152,265,295,304,217,77,77,136,79,85,32
Total Assets,625,742,836,803,705,553,361,334,366,283,251,195
