,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01
Sales,498.0,553.0,628.0,739.0,567.0,690.0,738.0,105.0,58.0,53.0,9.0,3.0
Expenses,471.0,501.0,544.0,688.0,593.0,839.0,867.0,104.0,55.0,53.0,10.0,2.0
Operating Profit,27.0,52.0,84.0,51.0,-26.0,-149.0,-130.0,2.0,3.0,-0.0,-1.0,0.0
OPM %,5.0,9.0,13.0,7.0,-5.0,-22.0,-18.0,1.0,6.0,-1.0,-7.0,15.0
Other Income,0.0,0.0,0.0,0.0,-3.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,1.0,9.0,24.0,38.0,38.0,36.0,34.0,35.0,36.0,28.0,0.0,0.0
Depreciation,17.0,41.0,60.0,64.0,64.0,62.0,52.0,27.0,27.0,27.0,38.0,3.0
Profit before tax,10.0,2.0,0.0,-51.0,-131.0,-247.0,-215.0,-60.0,-59.0,-55.0,-39.0,-3.0
Tax %,37.0,121.0,-824.0,11.0,6.0,4.0,4.0,3.0,5.0,6.0,15.0,-1830.0
Net Profit,6.0,-0.0,4.0,-45.0,-123.0,-237.0,-206.0,-58.0,-56.0,-52.0,-33.0,-57.0
EPS in Rs,0.06,-0.0,0.04,-0.44,-1.2,-2.32,-2.01,-0.57,-0.55,-0.51,-0.32,-0.56
