,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,176.0,5.0,0.0,0,0,0,0,0,0,0,0,0.0,0
Expenses,182.0,17.0,3.0,1,1,2,2,1,1,1,1,2.0,5
Operating Profit,-7.0,-12.0,-3.0,-1,-1,-2,-2,-1,-1,-1,-1,-2.0,-4
OPM %,-4.0,-219.0,-10400.0,,,,,,,,,-5200.0,-936
Other Income,5.0,3.0,4.0,0,2,0,10,1,4,0,38,-9.0,-9
Interest,16.0,2.0,2.0,1,0,0,0,0,0,0,0,0.0,0
Depreciation,10.0,9.0,9.0,11,5,5,5,5,4,4,4,4.0,4
Profit before tax,-27.0,-20.0,-11.0,-13,-5,-7,3,-5,-1,-5,32,-16.0,-17
Tax %,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,
Net Profit,-24.0,-20.0,-11.0,-13,-5,-7,3,-5,-1,-5,32,-16.0,-17
EPS in Rs,-8.99,-7.75,-4.2,-5.07,-1.76,-2.47,1.26,-1.96,-0.53,-1.92,12.17,-5.91,-6.51
