,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17.0,35.43,35.43,35.43,35.43,45.09,74.57,74.57
Reserves,2.13,21.32,21.37,21.55,22.79,24.04,25.4,25.75
Borrowings,33.73,40.61,26.29,32.84,41.63,50.3,41.44,24.65
Other Liabilities,38.78,53.03,60.03,52.46,55.12,43.65,21.53,17.66
Total Liabilities,91.64,150.39,143.12,142.28,154.97,163.08,162.94,142.63
Fixed Assets,58.62,59.04,56.85,52.79,49.84,46.0,50.52,48.33
CWIP,0.29,0.2,0.2,6.6,7.12,8.4,6.53,6.79
Investments,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Other Assets,32.7,91.12,86.04,82.86,97.98,108.65,105.86,87.48
Total Assets,91.64,150.39,143.12,142.28,154.97,163.08,162.94,142.63
