,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,50.77,59.76,59.69,50.19,58.54,71.38,89.19,65.93
Expenses,42.87,51.44,49.48,42.48,50.22,62.62,79.71,53.23
Operating Profit,7.90,8.32,10.21,7.71,8.32,8.76,9.48,12.70
OPM %,15.56,13.92,17.11,15.36,14.21,12.27,10.63,19.26
Other Income,0.48,0.07,0.15,-0.32,0.27,0.23,0.0,0.01
Interest,2.53,3.23,3.13,2.54,2.88,3.53,3.65,3.50
Depreciation,3.74,4.07,4.29,4.5,4.45,4.6,4.5,4.55
Profit before tax,2.11,1.09,2.94,0.35,1.26,0.86,1.33,4.66
Tax %,57.82,-33.94,97.96,45.71,1.59,-45.35,-1.5,
Net Profit,0.89,1.45,0.05,0.18,1.24,1.25,1.35,4.74
EPS in Rs,,0.12,0.0,0.02,0.11,0.08,0.09,0.33
