,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,369,267,1113,-39,401
Cash from Investing Activity,-19,-3,-664,70,-440
Cash from Financing Activity,-221,-261,-44,-44,-347
Net Cash Flow,129,4,405,-13,-385
