,2022-09-01,2023-09-01
Sales,1888.0,2527.0
Expenses,1515.0,2062.0
Operating Profit,373.0,465.0
OPM %,20.0,18.0
Other Income,22.0,61.0
Interest,8.0,9.0
Depreciation,46.0,50.0
Profit before tax,341.0,466.0
Tax %,24.0,25.0
Net Profit,259.0,352.0
EPS in Rs,63.86,8.67
