,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,14.34,14.34,14.34,14.34,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36
Reserves,-60.76,-55.13,-55.7,-45.58,-45.68,-45.66,-45.79,-16.38,-16.46,-16.68,-17.11,-17.55
Borrowings,49.47,42.63,44.16,31.39,32.29,32.42,32.43,2.76,2.59,2.58,2.61,2.78
Other Liabilities,2.22,3.35,1.77,3.83,2.02,1.79,1.81,1.81,1.82,2.03,2.04,1.9
Total Liabilities,5.27,5.19,4.57,3.98,3.99,3.91,3.81,3.55,3.31,3.29,2.9,2.49
Fixed Assets,4.57,4.02,3.51,3.02,2.87,2.99,2.91,2.75,2.59,2.43,2.21,2.05
CWIP,0.13,0.13,0.19,0.19,0.39,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.5700000000000001,1.04,0.87,0.77,0.73,0.79,0.77,0.67,0.59,0.73,0.56,0.31
Total Assets,5.27,5.19,4.57,3.98,3.99,3.91,3.81,3.55,3.31,3.29,2.9,2.49
