,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,200,200,400,400,401,401,402
Reserves,1520,1768,1776,2421,2897,3217,3489
Borrowings,787,813,773,893,1022,815,833
Other Liabilities,681,922,1214,1169,1245,1398,1122
Total Liabilities,3189,3704,4163,4883,5564,5831,5846
Fixed Assets,1030,1377,2020,2201,2393,2667,2751
CWIP,155,274,234,237,346,177,236
Investments,158,716,776,702,1034,918,540
Other Assets,1846,1337,1133,1743,1790,2069,2319
Total Assets,3189,3704,4163,4883,5564,5831,5846
